CNIC,Name,Date of Birth,Issuance Date,Expiry Date
12345-1234567-1,Ahmed Ali Khan,1990-05-15,2015-06-20,2030-06-20
54321-7654321-9,Fatima Ahmed,1995-08-10,2018-03-12,2033-03-12
35202-1234567-3,Muhammad Usman,1988-12-01,2012-05-10,2027-05-10
42401-3667781-1,SM Umer,2025-11-11,2003-03-21,2004-03-21
42401-3667781-1,Farjad Ur Rehman,2025-12-03,2003-03-21,2004-03-21
42401-1000001-1,Ali Raza,1991-01-12,2014-02-15,2029-02-15
42401-1000002-2,Ayesha Khan,1994-03-18,2017-05-20,2032-05-20
42401-1000003-3,Muhammad Usman,1989-06-25,2012-07-10,2027-07-10
42401-1000004-4,Sara Ahmed,1996-09-14,2019-11-22,2034-11-22
42401-1000005-5,Hassan Ali,1990-12-01,2013-01-05,2028-01-05
42401-1000006-6,Maryam Iqbal,1998-02-10,2021-03-18,2036-03-18
42401-1000007-7,Bilal Mahmood,1987-04-22,2010-06-30,2025-06-30
42401-1000008-8,Nida Hussain,1995-07-19,2018-08-25,2033-08-25
42401-1000009-9,Imran Sheikh,1986-10-05,2009-12-11,2024-12-11
42401-1000010-1,Faiza Malik,1997-11-29,2020-02-14,2035-02-14
42401-1000011-2,Zain Abbas,1993-05-17,2016-06-21,2031-06-21
42401-1000012-3,Amna Yousaf,1999-08-08,2022-09-01,2037-09-01
42401-1000013-4,Saad Ahmed,1988-03-03,2011-04-12,2026-04-12
42401-1000014-5,Hina Arshad,1994-06-27,2017-07-09,2032-07-09
42401-1000015-6,Kamran Akhtar,1985-09-15,2008-10-20,2023-10-20
42401-1000016-7,Rabia Nawaz,1992-12-24,2015-01-18,2030-01-18
42401-1000017-8,Shahzaib Khan,1991-02-06,2014-03-28,2029-03-28
42401-1000018-9,Maham Riaz,1998-04-11,2021-05-16,2036-05-16
42401-1000019-1,Umer Farooq,1987-07-30,2010-08-07,2025-08-07
42401-1000020-2,Laiba Siddiqui,1996-10-13,2019-11-26,2034-11-26
43402-2000001-1,Arslan Qureshi,1990-01-09,2013-02-19,2028-02-19
43402-2000002-2,Sana Tariq,1995-03-21,2018-04-17,2033-04-17
43402-2000003-3,Abdullah Noor,1989-06-02,2012-07-14,2027-07-14
43402-2000004-4,Anum Khalid,1997-08-30,2020-09-06,2035-09-06
43402-2000005-5,Faisal Mehmood,1986-11-18,2009-12-22,2024-12-22
43402-2000006-6,Iqra Zahid,1998-02-25,2021-03-30,2036-03-30
43402-2000007-7,Noman Latif,1991-05-14,2014-06-19,2029-06-19
43402-2000008-8,Sadia Akram,1994-07-07,2017-08-23,2032-08-23
43402-2000009-9,Talha Siddiq,1992-09-28,2015-10-11,2030-10-11
43402-2000010-1,Noor Fatima,1999-12-05,2022-01-08,2037-01-08
43402-2000011-2,Waqas Ali,1988-03-16,2011-04-27,2026-04-27
43402-2000012-3,Eman Shabbir,1996-06-09,2019-07-15,2034-07-15
43402-2000013-4,Adeel Khan,1985-08-20,2008-09-02,2023-09-02
43402-2000014-5,Komal Asif,1997-11-11,2020-12-18,2035-12-18
43402-2000015-6,Rizwan Haider,1990-01-27,2013-03-05,2028-03-05
43402-2000016-7,Minal Shah,1995-04-06,2018-05-14,2033-05-14
43402-2000017-8,Haroon Malik,1987-07-23,2010-08-29,2025-08-29
43402-2000018-9,Mehak Zafar,1998-10-02,2021-11-09,2036-11-09
43402-2000019-1,Ahsan Rauf,1992-12-19,2015-01-26,2030-01-26
43402-2000020-2,Sumbal Javed,1996-02-14,2019-03-21,2033-03-21

